name,city,happiness(0-10),height(cm),weight(kg)
John,Kolkata,7,182,72.2
Michael,Delhi,6,168,65.8
David,Mumbai,8,163,59.9
Sarah,Chennai,9,155,52.7
Daniel,Kolkata,7,179,71.1
Emily,Delhi,6,172,66.3
Olivia,Mumbai,8,158,61.7
Ethan,Chennai,9,147,48.9
Sophia,Kolkata,7,183,73.5
Matthew,Delhi,6,169,66.9
Karen,Mumbai,8,161,59.1
James,Chennai,9,152,51.3
Zoe,Kolkata,7,177,70.8
Logan,Delhi,6,173,65.1
Hannah,Mumbai,8,159,61.3
Liam,Chennai,9,148,49.8
Emma,Kolkata,7,181,72.7
Ava,Delhi,6,170,66.1
Noah,Mumbai,8,162,60.3
Mia,Chennai,9,153,52.5
Benjamin,Kolkata,7,178,70.1
Aria,Delhi,6,171,65.5
William,Mumbai,8,160,59.7
Grace,Chennai,9,150,50.1
